#k-distance eigenvalue[eV]
2.47407639 -7.69060000
2.50829292 -7.68200000
2.50829292 -7.68200000
2.54324089 -7.68770000
2.57818885 -7.69880000
2.61313681 -7.71100000
2.64808477 -7.72310000
2.68303274 -7.73440000
2.71798070 -7.74410000
2.75292865 -7.75180000
2.78787662 -7.75670000
2.82282458 -7.75840000

0.00000000 -7.63630000
0.03310860 -7.63640000
0.06621719 -7.63610000
0.09932579 -7.63800000
0.13243438 -7.64660000
0.16554298 -7.65750000
0.19865158 -7.66950000
0.23176017 -7.68150000
0.26486877 -7.69340000
0.29797736 -7.70460000
0.33108595 -7.71500000
0.36419454 -7.72440000
0.39730314 -7.73260000
0.43041174 -7.73960000
0.46352033 -7.74550000
0.49662893 -7.75020000
0.52973752 -7.75380000
0.56284612 -7.75640000
0.59595472 -7.75790000
0.62906331 -7.75840000
0.62906331 -7.75840000
0.66613123 -7.75480000
0.70319913 -7.74480000
0.74026705 -7.73040000
0.77733496 -7.71340000
0.81440287 -7.69550000
0.85147078 -7.67800000
0.85147078 -7.67810000
0.88324328 -7.66440000
0.91501577 -7.67390000
0.94678827 -7.68270000
0.97856076 -7.69020000
1.01033326 -7.69660000
1.04210575 -7.70130000
1.07387825 -7.70420000
1.10565075 -7.70520000
1.13742324 -7.70450000
1.16919574 -7.70200000
1.20096823 -7.69750000
1.23274072 -7.69140000
1.26451321 -7.68370000
1.29628571 -7.67480000
1.32805821 -7.66500000
1.35983070 -7.65470000
1.39160320 -7.64480000
1.42337569 -7.63770000
1.45514819 -7.63710000
1.48692068 -7.63640000
1.51869318 -7.63630000
1.51869318 -7.63630000
1.55073934 -7.63360000
1.58278551 -7.64350000
1.61483167 -7.65440000
1.64687784 -7.66670000
1.67892400 -7.67260000
1.71097017 -7.67780000
1.74301633 -7.68290000
1.77506251 -7.68770000
1.80710867 -7.69210000
1.83915484 -7.69610000
1.87120100 -7.69960000
1.90324717 -7.70280000
1.93529333 -7.70530000
1.96733950 -7.70740000
1.99938566 -7.70890000
2.03143183 -7.70990000
2.06347799 -7.71040000
2.06347799 -7.71040000
2.09769453 -7.71040000
2.13191106 -7.71080000
