  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    1.025  -12.6399     0.030     0.020     0.588
    1.060  -12.6118     0.028     0.020     0.588
    1.095  -12.5788     0.028     0.020     0.594
    1.130  -12.5422     0.028     0.020     0.596
    1.165  -12.5034     0.026     0.020     0.600
    1.200  -12.4634     0.026     0.018     0.604
    1.235  -12.4234     0.026     0.018     0.608
    1.270  -12.3845     0.024     0.018     0.614
    1.305  -12.3478     0.024     0.018     0.616
    1.340  -12.3142     0.024     0.018     0.620
    1.375  -12.2850     0.024     0.016     0.624
    1.410  -12.2609     0.024     0.016     0.626
    1.445  -12.2430     0.022     0.016     0.630
    1.480  -12.2319     0.022     0.016     0.628
    1.516  -12.2282     0.022     0.015     0.630
    1.516  -12.2282     0.022     0.015     0.630
    1.544  -12.2313     0.022     0.017     0.632
    1.573  -12.2403     0.022     0.017     0.628
    1.601  -12.2543     0.022     0.017     0.626
    1.630  -12.2719     0.024     0.017     0.628
    1.659  -12.2914     0.024     0.017     0.626
    1.687  -12.3111     0.024     0.016     0.624
    1.716  -12.3293     0.024     0.016     0.618
    1.744  -12.3451     0.024     0.019     0.616
    1.773  -12.3577     0.024     0.018     0.620
    1.802  -12.3671     0.024     0.018     0.618
    1.830  -12.3737     0.024     0.018     0.614
    1.859  -12.3780     0.024     0.018     0.618
    1.888  -12.3805     0.024     0.018     0.616
    1.916  -12.3817     0.024     0.018     0.614
    1.945  -12.3820     0.022     0.018     0.612
    1.973  -12.3819     0.022     0.018     0.616
    2.002  -12.3816     0.022     0.018     0.616
    2.031  -12.3813     0.022     0.018     0.614
    2.059  -12.3812     0.022     0.018     0.614
    2.059  -12.3812     0.022     0.018     0.614
    2.083  -12.3849     0.022     0.019     0.616
    2.106  -12.3957     0.022     0.019     0.614
    2.129  -12.4127     0.022     0.020     0.610
    2.153  -12.4345     0.024     0.020     0.610
    2.176  -12.4597     0.024     0.020     0.604
    2.199  -12.4868     0.024     0.021     0.602
    2.223  -12.5147     0.024     0.021     0.602
    2.246  -12.5421     0.026     0.021     0.598
    2.269  -12.5678     0.026     0.021     0.596
    2.293  -12.5907     0.028     0.021     0.590
    2.316  -12.6099     0.028     0.021     0.590
    2.340  -12.6244     0.030     0.021     0.588
    2.363  -12.6335     0.030     0.020     0.588
    2.386  -12.6371     0.030     0.020     0.586
    2.410  -12.6349     0.032     0.019     0.586
    2.433  -12.6274     0.032     0.020     0.588
    2.456  -12.6150     0.032     0.019     0.590
    2.480  -12.5982     0.032     0.019     0.590
    2.503  -12.5777     0.031     0.020     0.592
    2.503  -12.5777     0.031     0.020     0.592
    2.520  -12.5769     0.031     0.019     0.592
    2.536  -12.5744     0.031     0.019     0.592
    2.553  -12.5702     0.031     0.020     0.593
    2.569  -12.5645     0.031     0.019     0.594
    2.586  -12.5571     0.031     0.019     0.594
    2.602  -12.5483     0.031     0.019     0.594
    2.619  -12.5380     0.031     0.019     0.595
    2.635  -12.5263     0.030     0.019     0.596
    2.652  -12.5133     0.029     0.018     0.598
    2.668  -12.4991     0.029     0.018     0.597
    2.685  -12.4838     0.029     0.018     0.600
    2.701  -12.4674     0.029     0.018     0.601
    2.718  -12.4501     0.028     0.018     0.602
    2.734  -12.4320     0.028     0.018     0.604
    2.751  -12.4133     0.027     0.018     0.606
    2.767  -12.3941     0.026     0.020     0.608
    2.784  -12.3750     0.025     0.018     0.609
    2.800  -12.3576     0.023     0.020     0.610
    2.817  -12.3487     0.020     0.022     0.612
 
# Band-Index    4
    2.817  -12.3487     0.020     0.022     0.612
    2.800  -12.3576     0.023     0.020     0.610
    2.784  -12.3750     0.025     0.018     0.609
    2.767  -12.3941     0.026     0.020     0.608
    2.751  -12.4133     0.027     0.018     0.606
    2.734  -12.4320     0.028     0.018     0.604
    2.718  -12.4501     0.028     0.018     0.603
    2.701  -12.4674     0.029     0.018     0.601
    2.685  -12.4838     0.029     0.018     0.600
    2.668  -12.4991     0.029     0.018     0.597
    2.652  -12.5133     0.029     0.018     0.598
    2.635  -12.5263     0.030     0.019     0.596
    2.619  -12.5380     0.031     0.019     0.595
    2.602  -12.5483     0.031     0.019     0.594
    2.586  -12.5571     0.031     0.019     0.594
    2.569  -12.5644     0.031     0.019     0.594
    2.553  -12.5702     0.031     0.020     0.593
    2.536  -12.5744     0.031     0.019     0.592
    2.520  -12.5769     0.031     0.019     0.592
    2.503  -12.5777     0.031     0.020     0.592
    2.503  -12.5777     0.031     0.020     0.592
    2.480  -12.5541     0.030     0.018     0.596
    2.456  -12.5278     0.030     0.019     0.594
    2.433  -12.4995     0.030     0.019     0.598
    2.410  -12.4695     0.030     0.019     0.600
    2.386  -12.4382     0.028     0.017     0.604
    2.363  -12.4060     0.028     0.018     0.604
    2.340  -12.3733     0.028     0.018     0.608
    2.316  -12.3403     0.028     0.018     0.610
    2.293  -12.3076     0.026     0.018     0.612
    2.269  -12.2754     0.026     0.018     0.616
    2.246  -12.2441     0.026     0.018     0.618
    2.223  -12.2140     0.024     0.018     0.620
    2.199  -12.1858     0.024     0.018     0.626
    2.176  -12.1599     0.024     0.017     0.626
    2.153  -12.1369     0.024     0.016     0.628
    2.129  -12.1176     0.022     0.017     0.630
    2.106  -12.1029     0.022     0.017     0.630
    2.083  -12.0936     0.022     0.017     0.632
    2.059  -12.0904     0.022     0.018     0.632
    2.059  -12.0904     0.022     0.018     0.632
    2.031  -12.0932     0.022     0.017     0.632
    2.002  -12.1006     0.022     0.017     0.632
    1.973  -12.1107     0.022     0.017     0.630
    1.945  -12.1220     0.022     0.017     0.630
    1.916  -12.1338     0.022     0.016     0.632
    1.888  -12.1456     0.022     0.016     0.632
    1.859  -12.1569     0.022     0.017     0.632
    1.830  -12.1677     0.022     0.017     0.632
    1.802  -12.1778     0.022     0.017     0.632
    1.773  -12.1871     0.022     0.016     0.632
    1.744  -12.1955     0.022     0.016     0.632
    1.716  -12.2031     0.022     0.016     0.630
    1.687  -12.2097     0.022     0.016     0.628
    1.659  -12.2153     0.022     0.016     0.628
    1.630  -12.2199     0.022     0.015     0.628
    1.601  -12.2235     0.022     0.015     0.628
    1.573  -12.2261     0.022     0.015     0.628
    1.544  -12.2277     0.022     0.015     0.628
    1.516  -12.2282     0.022     0.016     0.628
