#k-distance eigenvalue[eV]
0.39444849 -15.61040000
0.42731920 -15.59500000
0.46018991 -15.57840000
0.49306062 -15.56060000
0.52593132 -15.54190000
0.55880203 -15.52210000
0.59167274 -15.50160000
0.59167274 -15.50160000
0.63351033 -15.50330000
0.67534791 -15.50830000
0.71718549 -15.51620000
0.75902307 -15.52630000
0.80086065 -15.52700000
0.80086065 -15.52700000
0.83389032 -15.51160000
0.86691999 -15.49440000
0.89994965 -15.47550000
0.93297933 -15.48620000
0.96600899 -15.50880000
0.99903867 -15.53120000
1.03206833 -15.55300000
1.06509800 -15.57400000
1.09812767 -15.59400000
1.13115734 -15.61270000
1.16418701 -15.62990000
1.19721668 -15.64540000
1.23024634 -15.65920000
1.26327602 -15.67110000
1.29630568 -15.68090000
1.32933536 -15.68860000
1.36236502 -15.69420000
1.39539470 -15.69760000
1.42842436 -15.69870000
1.42842436 -15.69870000
1.46044959 -15.69780000
1.49247482 -15.69500000
1.52450004 -15.69050000
1.55652527 -15.68420000
1.58855050 -15.67620000
1.62057572 -15.66650000
1.65260095 -15.65530000
1.68462618 -15.64270000
1.71665140 -15.62870000
1.74867663 -15.61370000
1.78070186 -15.59800000
1.81272708 -15.58210000
1.84475231 -15.56670000
1.87677754 -15.55310000
1.90880276 -15.54330000
1.94082799 -15.53960000
1.94082799 -15.53960000
1.97569264 -15.53890000
2.01055730 -15.53670000
2.04542194 -15.53320000
2.08028659 -15.52840000
2.11515125 -15.52270000
2.15001590 -15.51610000
2.18488054 -15.50890000
2.21974520 -15.50150000
2.25460985 -15.49390000
2.28947449 -15.48630000
2.32433916 -15.47870000
2.35920380 -15.47100000
2.35920380 -15.47100000
2.39618335 -15.47210000
2.43316289 -15.47540000
2.47014244 -15.48030000
2.50712199 -15.48610000
2.54410153 -15.49190000
2.58108108 -15.49690000
2.61806063 -15.50030000
2.65504017 -15.50160000

0.00000000 -15.23170000
0.03287071 -15.23260000
0.06574142 -15.23550000
0.09861212 -15.24040000
0.13148283 -15.24730000
0.16435354 -15.25630000
0.19722425 -15.26740000
0.23009495 -15.28060000
0.26296566 -15.29560000
0.29583637 -15.31250000
0.32870708 -15.33090000
0.36157779 -15.35050000
0.39444849 -15.37130000
0.42731920 -15.39270000
0.46018991 -15.41450000
0.49306062 -15.43660000
0.52593132 -15.45860000
0.55880203 -15.48030000
0.59167274 -15.50150000
0.59167274 -15.50150000
0.63351033 -15.49680000
0.67534791 -15.48460000
0.71718549 -15.46780000
0.75902307 -15.44820000
0.80086065 -15.42660000
0.80086065 -15.42660000
0.83389032 -15.42020000
0.86691999 -15.44150000
0.89994965 -15.46370000
0.93297933 -15.45520000
0.96600899 -15.43370000
0.99903867 -15.41140000
1.03206833 -15.38840000
1.06509800 -15.36540000
1.09812767 -15.34260000
1.13115734 -15.32060000
1.16418701 -15.30010000
1.19721668 -15.28170000
1.23024634 -15.26600000
1.26327602 -15.25360000
1.29630568 -15.24440000
1.32933536 -15.23820000
1.36236502 -15.23440000
1.39539470 -15.23230000
1.42842436 -15.23170000
1.42842436 -15.23170000
1.46044959 -15.23200000
1.49247482 -15.23310000
1.52450004 -15.23520000
1.55652527 -15.23860000
1.58855050 -15.24410000
1.62057572 -15.25240000
1.65260095 -15.26360000
1.68462618 -15.27780000
1.71665140 -15.29440000
1.74867663 -15.31270000
1.78070186 -15.33180000
1.81272708 -15.35110000
1.84475231 -15.36930000
1.87677754 -15.38510000
1.90880276 -15.39620000
1.94082799 -15.40040000
1.94082799 -15.40040000
1.97569264 -15.40100000
2.01055730 -15.40290000
2.04542194 -15.40610000
2.08028659 -15.41050000
2.11515125 -15.41610000
2.15001590 -15.42260000
2.18488054 -15.43000000
2.21974520 -15.43800000
2.25460985 -15.44640000
2.28947449 -15.45480000
2.32433916 -15.46300000
2.35920380 -15.47100000
2.35920380 -15.47100000
2.39618335 -15.47210000
2.43316289 -15.47540000
2.47014244 -15.48030000
2.50712199 -15.48610000
2.54410153 -15.49190000
2.58108108 -15.49690000
2.61806063 -15.50030000
2.65504017 -15.50150000

0.00000000 -15.23170000
0.03287071 -15.23140000
0.06574142 -15.23080000
0.09861212 -15.22960000
0.13148283 -15.22800000
0.16435354 -15.22600000
0.19722425 -15.22370000
0.23009495 -15.22090000
0.26296566 -15.21860000
0.29583637 -15.23220000
0.32870708 -15.24660000
0.36157779 -15.26120000
0.39444849 -15.27570000
0.42731920 -15.28970000
0.46018991 -15.30260000
0.49306062 -15.31370000
0.52593132 -15.32230000
0.55880203 -15.32790000
0.59167274 -15.32980000
0.59167274 -15.32980000
0.63351033 -15.33310000
0.67534791 -15.34260000
0.71718549 -15.35760000
0.75902307 -15.37710000
0.80086065 -15.40010000
0.80086065 -15.40010000
0.83389032 -15.40850000
0.86691999 -15.38970000
0.89994965 -15.37040000
0.93297933 -15.35080000
0.96600899 -15.33110000
0.99903867 -15.31150000
1.03206833 -15.29220000
1.06509800 -15.27350000
1.09812767 -15.25560000
1.13115734 -15.24280000
1.16418701 -15.23990000
1.19721668 -15.23750000
1.23024634 -15.23560000
1.26327602 -15.23420000
1.29630568 -15.23310000
1.32933536 -15.23240000
1.36236502 -15.23200000
1.39539470 -15.23170000
1.42842436 -15.23170000
1.42842436 -15.23170000
1.46044959 -15.23200000
1.49247482 -15.23310000
1.52450004 -15.23520000
1.55652527 -15.23860000
1.58855050 -15.24410000
1.62057572 -15.25240000
1.65260095 -15.26360000
1.68462618 -15.27780000
1.71665140 -15.29440000
1.74867663 -15.31270000
1.78070186 -15.33180000
1.81272708 -15.35110000
1.84475231 -15.36930000
1.87677754 -15.38510000
1.90880276 -15.39620000
1.94082799 -15.40040000
1.94082799 -15.40040000
1.97569264 -15.40040000
2.01055730 -15.40030000
2.04542194 -15.40010000
2.08028659 -15.39950000
2.11515125 -15.39840000
2.15001590 -15.39650000
2.18488054 -15.39340000
2.21974520 -15.38880000
2.25460985 -15.38240000
2.28947449 -15.37400000
2.32433916 -15.36350000
2.35920380 -15.35110000
2.35920380 -15.35110000
2.39618335 -15.35010000
2.43316289 -15.34760000
2.47014244 -15.34390000
2.50712199 -15.33980000
2.54410153 -15.33590000
2.58108108 -15.33260000
2.61806063 -15.33050000
2.65504017 -15.32980000

0.00000000 -15.22870000
0.03287071 -15.22820000
0.06574142 -15.22680000
0.09861212 -15.22450000
0.13148283 -15.22130000
0.16435354 -15.21720000
0.19722425 -15.21240000
0.23009495 -15.20690000
