  #K-Path    Energy        Zn        In         S
# NKPTS & NBANDS: 120  76
# Band-Index    1
    2.506  -14.2315     0.001     0.840     0.084
    2.522  -14.2342     0.001     0.840     0.084
    2.537  -14.2370     0.002     0.840     0.088
    2.553  -14.2397     0.002     0.836     0.088
    2.569  -14.2422     0.002     0.836     0.088
    2.584  -14.2445     0.002     0.836     0.088
    2.600  -14.2465     0.002     0.834     0.088
    2.616  -14.2482     0.002     0.832     0.092
    2.631  -14.2494     0.002     0.832     0.092
    2.647  -14.2502     0.002     0.832     0.092
    2.662  -14.2504     0.002     0.832     0.092
 
# Band-Index    4
    2.662  -14.2499     0.002     0.832     0.092
    2.647  -14.2497     0.002     0.832     0.092
    2.631  -14.2489     0.002     0.832     0.092
    2.616  -14.2477     0.002     0.832     0.092
    2.600  -14.2460     0.002     0.834     0.088
    2.584  -14.2440     0.002     0.836     0.088
    2.569  -14.2417     0.002     0.836     0.088
    2.553  -14.2392     0.002     0.836     0.088
    2.537  -14.2365     0.002     0.840     0.088
    2.522  -14.2337     0.001     0.840     0.084
    2.506  -14.2310     0.001     0.840     0.084
    2.491  -14.2282     0.001     0.843     0.084
    2.475  -14.2256     0.001     0.844     0.084
    2.459  -14.2232     0.001     0.844     0.084
    2.444  -14.2210     0.001     0.844     0.084
    2.428  -14.2191     0.001     0.846     0.084
    2.413  -14.2175     0.001     0.848     0.084
    2.397  -14.2164     0.001     0.848     0.084
    2.381  -14.2157     0.001     0.848     0.084
    2.366  -14.2154     0.001     0.848     0.084
    2.366  -14.2154     0.001     0.848     0.084
    2.344  -14.2106     0.001     0.848     0.080
    2.322  -14.2054     0.001     0.851     0.081
    2.300  -14.2000     0.000     0.851     0.081
    2.277  -14.1945     0.000     0.853     0.078
    2.255  -14.1890     0.000     0.855     0.078
    2.233  -14.1835     0.000     0.859     0.076
    2.211  -14.1780     0.000     0.859     0.076
    2.189  -14.1728     0.000     0.862     0.074
    2.167  -14.1678     0.000     0.864     0.073
    2.145  -14.1631     0.000     0.865     0.071
    2.123  -14.1588     0.000     0.867     0.070
    2.101  -14.1549     0.000     0.869     0.070
    2.079  -14.1515     0.000     0.870     0.070
    2.057  -14.1486     0.000     0.871     0.070
    2.035  -14.1462     0.000     0.873     0.070
    2.012  -14.1443     0.000     0.872     0.069
    1.990  -14.1429     0.000     0.875     0.068
    1.968  -14.1421     0.000     0.874     0.068
    1.946  -14.1419     0.000     0.873     0.068
    1.946  -14.1419     0.000     0.873     0.068
    1.919  -14.1389     0.000     0.874     0.066
    1.892  -14.1305     0.000     0.877     0.064
    1.865  -14.1182     0.000     0.883     0.060
    1.838  -14.1034     0.000     0.888     0.058
    1.811  -14.0872     0.000     0.895     0.054
    1.784  -14.0704     0.000     0.901     0.048
    1.757  -14.0537     0.000     0.909     0.044
    1.730  -14.0376     0.000     0.917     0.038
    1.703  -14.0227     0.000     0.926     0.032
    1.676  -14.0094     0.000     0.934     0.026
    1.649  -13.9982     0.000     0.944     0.020
    1.622  -13.9959     0.000     0.906     0.032
    1.595  -14.0000     0.000     0.904     0.038
    1.568  -14.0037     0.000     0.901     0.038
    1.541  -14.0067     0.000     0.896     0.040
    1.514  -14.0091     0.000     0.894     0.040
    1.486  -14.0110     0.000     0.893     0.040
    1.459  -14.0120     0.000     0.891     0.040
    1.432  -14.0124     0.000     0.892     0.040
    1.432  -14.0124     0.000     0.892     0.040
    1.399  -14.0119     0.000     0.892     0.040
    1.366  -14.0102     0.000     0.894     0.040
    1.333  -14.0076     0.000     0.896     0.040
    1.300  -14.0041     0.000     0.900     0.040
    1.267  -13.9999     0.000     0.904     0.036
    1.234  -14.0042     0.000     0.942     0.020
    1.201  -14.0201     0.000     0.932     0.028
    1.167  -14.0389     0.000     0.922     0.036
    1.134  -14.0600     0.000     0.912     0.044
    1.101  -14.0825     0.000     0.900     0.048
    1.068  -14.1059     0.000     0.890     0.056
    1.035  -14.1296     0.000     0.882     0.060
    1.002  -14.1531     0.000     0.872     0.068
    0.969  -14.1759     0.000     0.866     0.072
    0.936  -14.1978     0.000     0.858     0.076
    0.902  -14.2083     0.001     0.850     0.080
    0.869  -14.1858     0.000     0.856     0.078
    0.836  -14.1640     0.000     0.862     0.072
    0.803  -14.1719     0.002     0.858     0.076
    0.803  -14.1719     0.002     0.858     0.076
    0.792  -14.1780     0.002     0.854     0.078
    0.781  -14.1839     0.002     0.854     0.080
    0.770  -14.1897     0.002     0.852     0.080
    0.759  -14.1955     0.002     0.850     0.080
    0.748  -14.2010     0.002     0.848     0.080
    0.737  -14.2064     0.002     0.848     0.080
    0.726  -14.2116     0.002     0.846     0.080
    0.715  -14.2166     0.002     0.842     0.084
