#k-distance eigenvalue[eV]
1.50333762 -16.46140000
1.54887381 -16.46080000
1.59440999 -16.46030000
1.63994617 -16.46000000
1.68548235 -16.45970000
1.73101854 -16.45960000
1.73101854 -16.45960000
1.77531841 -16.45960000
1.81961830 -16.45940000
1.86391817 -16.45900000
1.90821805 -16.45860000
1.95251793 -16.45780000
1.99681781 -16.45680000
2.04111768 -16.45550000
2.08541757 -16.45390000
2.12971744 -16.45200000
2.17401732 -16.44980000
2.21831720 -16.44770000
2.26261708 -16.44570000
2.30691695 -16.44410000
2.35121684 -16.44310000
2.39551671 -16.44270000
2.39551671 -16.44270000
2.43864182 -16.44260000
2.48176691 -16.44220000
2.52489201 -16.44130000
2.56801710 -16.44040000
2.61114221 -16.43920000
2.65426730 -16.43800000
2.69739240 -16.43660000
2.74051751 -16.43500000
2.78364260 -16.43390000
2.82676770 -16.43280000
2.86989279 -16.43200000
2.91301790 -16.43120000
2.95614299 -16.43080000
2.99926809 -16.43070000
2.99926809 -16.43070000
3.04795325 -16.43110000
3.09663838 -16.43210000
3.14532354 -16.43400000
3.19400870 -16.43620000
3.24269385 -16.43880000
3.29137899 -16.44160000
3.34006414 -16.44450000
3.38874930 -16.44740000
3.43743443 -16.45010000
3.43743443 -16.45010000
3.48130351 -16.45240000
3.52517261 -16.45450000
3.56904169 -16.45640000
3.61291076 -16.45810000
3.65677984 -16.45930000
3.70064891 -16.46010000
3.74451799 -16.46070000
3.78838709 -16.46090000
3.83225616 -16.46040000
3.87612524 -16.45900000
3.91999431 -16.45650000
3.96386339 -16.45320000
4.00773247 -16.44980000
4.05160157 -16.44690000
4.09547064 -16.44460000
4.13933972 -16.44320000
4.18320879 -16.44270000
4.18320879 -16.46680000
4.23758671 -16.46630000
4.29196465 -16.46470000
4.34634257 -16.46230000
4.40072049 -16.45930000
4.40072049 -16.45930000
4.44498198 -16.45660000
4.48924346 -16.45380000
4.53350495 -16.45090000
4.57776643 -16.44790000
4.62202793 -16.44500000
4.66628940 -16.44240000
4.71055090 -16.43990000
4.75481237 -16.43760000
4.79907387 -16.43560000
4.84333535 -16.43390000
4.88759684 -16.43250000
4.93185832 -16.43150000
4.97611981 -16.43090000
5.02038129 -16.43070000

0.00000000 -16.44270000
0.04406171 -16.44280000
0.08812342 -16.44300000
0.13218513 -16.44320000
0.17624684 -16.44350000
0.22030856 -16.44370000
0.26437027 -16.44400000
0.30843198 -16.44440000
0.35249369 -16.44480000
0.39655540 -16.44510000
0.44061710 -16.44560000
0.48467881 -16.44610000
0.52874052 -16.44630000
0.57280223 -16.44670000
0.61686394 -16.44700000
0.66092565 -16.44730000
0.70498736 -16.44740000
0.74904907 -16.44760000
