#k-distance eigenvalue[eV]
5.18865158 -7.13890000
5.23350857 -7.14210000

0.00000000 0.00000000
0.04165291 -0.03030000
0.08330584 -0.11790000
0.12495874 -0.25370000
0.16661165 -0.42630000
0.20826455 -0.62580000
0.24991748 -0.84480000
0.29157039 -1.07700000
0.33322329 -1.31660000
0.37487622 -1.56090000
0.41652913 -1.80790000
0.45818204 -2.05500000
0.49983494 -2.30200000
0.54148787 -2.54640000
0.58314078 -2.78780000
0.62479368 -3.02530000
0.66644661 -3.25790000
0.70809952 -3.48540000
0.74975242 -3.70490000
0.79140533 -3.91610000
0.83305826 -4.11740000
0.87471117 -4.30590000
0.91636407 -4.48060000
0.95801700 -4.63810000
0.99966991 -4.77490000
1.04132281 -4.88770000
1.08297572 -4.97210000
1.12462865 -5.02430000
1.16628155 -5.04210000
1.16628155 -5.04210000
1.21209742 -5.04020000
1.25791329 -5.03500000
1.30372915 -5.02610000
1.34954502 -5.01440000
1.39536089 -5.00090000
1.44117676 -4.98670000
1.48699261 -4.97320000
1.53280848 -4.96140000
1.57862435 -4.95230000
1.57862435 -4.95230000
1.62128050 -4.94410000
1.66393666 -4.93340000
1.70659281 -4.91520000
1.74924896 -4.88420000
1.79190510 -4.83610000
1.83456125 -4.76800000
1.87721741 -4.67840000
1.91987356 -4.56760000
1.96252971 -4.43560000
2.00518587 -4.28360000
2.04784202 -4.11310000
2.09049817 -3.92510000
2.13315433 -3.72060000
2.17581048 -3.50090000
2.21846662 -3.26590000
2.26112277 -3.01890000
2.30377892 -2.76050000
2.34643508 -2.49110000
2.38909123 -2.21440000
2.43174738 -1.93100000
2.47440353 -1.64390000
2.51705969 -1.35720000
2.55971584 -1.07490000
2.60237199 -0.80340000
2.64502813 -0.55210000
2.68768428 -0.33100000
2.73034044 -0.15510000
2.77299659 -0.04010000
2.81565274 0.00000000
2.81565274 0.00000000
2.85773730 -0.04180000
2.89982187 -0.16200000
2.94190643 -0.34720000
2.98399098 -0.58120000
3.02607555 -0.85150000
3.06816011 -1.14740000
3.11024466 -1.45810000
3.15232923 -1.77950000
3.19441379 -2.10670000
3.23649834 -2.43530000
3.27858292 -2.76390000
3.32066747 -3.08720000
3.36275202 -3.40430000
3.40483660 -3.71240000
3.44692115 -4.01000000
3.48900571 -4.29510000
3.53109028 -4.56460000
3.57317483 -4.81620000
3.61525939 -5.04660000
3.65734396 -5.25140000
3.69942852 -5.42490000
3.74151307 -5.55940000
3.78359764 -5.64580000
3.82568220 -5.67580000
3.82568220 -5.67580000
3.86908669 -5.67040000
3.91249121 -5.65420000
3.95589570 -5.62760000
3.99930022 -5.59090000
4.04270471 -5.54460000
4.08610923 -5.48950000
4.12951372 -5.42680000
4.17291824 -5.35760000
4.21632273 -5.28400000
4.25972726 -5.20810000
4.30313175 -5.13280000
4.34653627 -5.06190000
4.38994076 -4.99990000
4.43334528 -4.95050000
4.47674977 -4.91650000
4.52015429 -4.89690000
4.56355878 -4.88860000
4.60696330 -4.88640000
4.65036779 -4.88630000
4.65036779 -4.88630000
4.69522478 -4.88910000
4.74008176 -4.89750000
4.78493875 -4.91050000
4.82979573 -4.92690000
4.87465272 -4.94530000
4.91950970 -4.96440000
4.96436666 -4.98290000
5.00922365 -4.99980000
5.05408063 -5.01460000
5.09893761 -5.02650000
5.14379460 -5.03490000
5.18865158 -5.04030000
5.23350857 -5.04210000

0.00000000 0.00000000
0.04165291 -0.01000000
0.08330584 -0.03980000
0.12495874 -0.08850000
0.16661165 -0.15430000
0.20826455 -0.23570000
0.24991748 -0.33130000
0.29157039 -0.43850000
0.33322329 -0.55490000
0.37487622 -0.67830000
0.41652913 -0.80730000
0.45818204 -0.93880000
0.49983494 -1.07180000
0.54148787 -1.20420000
0.58314078 -1.33490000
0.62479368 -1.46230000
0.66644661 -1.58520000
0.70809952 -1.70370000
0.74975242 -1.81430000
0.79140533 -1.91750000
0.83305826 -2.01230000
0.87471117 -2.09780000
0.91636407 -2.17350000
0.95801700 -2.23900000
0.99966991 -2.29250000
1.04132281 -2.33500000
1.08297572 -2.36570000
1.12462865 -2.38410000
1.16628155 -2.39030000
1.16628155 -2.39030000
1.21209742 -2.41420000
1.25791329 -2.48520000
1.30372915 -2.59370000
1.34954502 -2.72980000
1.39536089 -2.88150000
1.44117676 -3.03590000
1.48699261 -3.18060000
1.53280848 -3.30410000
1.57862435 -3.39770000
1.57862435 -3.39760000
1.62128050 -3.45100000
1.66393666 -3.47000000
1.70659281 -3.45490000
1.74924896 -3.40830000
1.79190510 -3.33390000
1.83456125 -3.23550000
1.87721741 -3.11630000
1.91987356 -2.97950000
1.96252971 -2.82770000
2.00518587 -2.66320000
2.04784202 -2.48870000
2.09049817 -2.30550000
2.13315433 -2.11610000
2.17581048 -1.92260000
2.21846662 -1.72610000
2.26112277 -1.53090000
2.30377892 -1.33870000
2.34643508 -1.15110000
2.38909123 -0.97130000
2.43174738 -0.80110000
2.47440353 -0.64240000
2.51705969 -0.49830000
2.55971584 -0.36990000
2.60237199 -0.25870000
2.64502813 -0.16670000
2.68768428 -0.09410000
2.73034044 -0.04210000
2.77299659 -0.01050000
2.81565274 0.00000000
2.81565274 0.00000000
2.85773730 -0.00470000
2.89982187 -0.01880000
2.94190643 -0.04190000
2.98399098 -0.07290000
3.02607555 -0.11180000
3.06816011 -0.15720000
3.11024466 -0.20790000
3.15232923 -0.26260000
3.19441379 -0.32140000
3.23649834 -0.38150000
3.27858292 -0.44200000
3.32066747 -0.50260000
3.36275202 -0.56230000
3.40483660 -0.61870000
3.44692115 -0.67290000
3.48900571 -0.72360000
3.53109028 -0.76970000
3.57317483 -0.81080000
3.61525939 -0.84700000
3.65734396 -0.87670000
3.69942852 -0.90020000
3.74151307 -0.91760000
3.78359764 -0.92790000
3.82568220 -0.93130000
3.82568220 -0.93130000
3.86908669 -0.96040000
3.91249121 -1.04450000
3.95589570 -1.17750000
3.99930022 -1.34840000
4.04270471 -1.54720000
4.08610923 -1.76300000
4.12951372 -1.98750000
4.17291824 -2.21150000
4.21632273 -2.42900000
4.25972726 -2.63190000
4.30313175 -2.81430000
4.34653627 -2.96940000
4.38994076 -3.09100000
4.43334528 -3.17290000
4.47674977 -3.21160000
4.52015429 -3.20640000
4.56355878 -3.16220000
4.60696330 -3.08750000
4.65036779 -3.02230000
4.65036779 -3.02230000
4.69522478 -3.01280000
4.74008176 -2.98560000
4.78493875 -2.94220000
4.82979573 -2.88520000
4.87465272 -2.81840000
4.91950970 -2.74510000
4.96436666 -2.66950000
5.00922365 -2.59590000
5.05408063 -2.52850000
5.09893761 -2.47110000
5.14379460 -2.42720000
5.18865158 -2.39960000
5.23350857 -2.39030000

0.00000000 0.00000000
0.04165291 -0.01000000
0.08330584 -0.03980000
0.12495874 -0.08850000
0.16661165 -0.15430000
